time,delta_generator-1-1,omega_generator-1-1,delta_generator-2-1,omega_generator-2-1,delta_generator-3-1,omega_generator-3-1,delta_generator-6-1,omega_generator-6-1,delta_generator-8-1,omega_generator-8-1
3.84,0.16836457620210485,0.9998830111263621,0.20838360679092993,1.0000542528774738,0.045393089159138235,0.999947423256299,0.1484883071587189,1.0000403035056826,0.026126970233559057,0.9999160968694303
3.85,0.16836457620210485,0.9998959514250472,0.20900019736932807,1.00005162566813,0.04560618552679385,0.9999445059029175,0.14905110645415043,1.0000370395789775,0.02622937785852352,0.9999171235451005
3.86,0.16836457620210485,0.9999094296322194,0.20955646559435473,1.0000486808742808,0.045759019130781786,0.9999418811819744,0.14955120530693536,1.000033469598766,0.026286499133467315,0.9999184991982123
3.87,0.16836457620210485,0.9999233577050891,0.21004922439464307,1.0000454439974817,0.04585079028680699,0.9999395504337063,0.1499854709422121,1.0000296232300456,0.026297742632297137,0.99992021676554
3.88,0.16836457620210485,0.9999376452313878,0.21047570047421443,1.0000419445525708,0.04588105605143916,0.9999375148124958,0.15035120703622262,1.0000255363787118,0.02626284382400472,0.9999222692507911
3.89,0.16836457620210485,0.9999522193808851,0.21083411292440282,1.0000382085173467,0.04584980426395422,0.9999357745516406,0.15064672238419205,1.0000212419762926,0.026181904599627583,0.9999246508451453
3.9,0.16836457620210485,0.9999669986368891,0.21112276773918853,1.000034265752221,0.04575724815771427,0.9999343291012844,0.1508704497071812,1.0000167787523597,0.026055248956440544,0.9999273546039474
3.91,0.16836457620210485,0.9999818966800049,0.21134029178925282,1.000030148718269,0.045603930200697335,0.9999331767215337,0.15102119024675817,1.0000121898885683,0.025883514075140234,0.9999303724498116
3.92,0.16836457620210485,0.999996836131054,0.21148582417829742,1.0000258869314276,0.04539061389338904,0.9999323147629358,0.1510982780930904,1.0000075155131798,0.025667529554526117,0.9999336963694703
3.93,0.16836457620210485,1.000011743425247,0.2115589152769505,1.000021508464704,0.04511830049066266,0.9999317394927433,0.15110149119872343,1.0000027946136432,0.025408341769339458,0.9999373177847845
